hour	weekday	count
0	0	52
0	1	53
0	2	52
0	3	52
0	4	52
0	5	52
0	6	52
1	0	52
1	1	53
1	2	52
1	3	52
1	4	52
1	5	52
1	6	52
2	0	52
2	1	53
2	2	52
2	3	52
2	4	52
2	5	52
2	6	51
3	0	52
3	1	53
3	2	52
3	3	52
3	4	52
3	5	52
3	6	52
4	0	52
4	1	53
4	2	52
4	3	52
4	4	52
4	5	52
4	6	52
5	0	52
5	1	53
5	2	52
5	3	52
5	4	52
5	5	52
5	6	52
6	0	52
6	1	53
6	2	52
6	3	52
6	4	52
6	5	52
6	6	52
7	0	52
7	1	53
7	2	52
7	3	52
7	4	52
7	5	52
7	6	52
8	0	52
8	1	53
8	2	52
8	3	52
8	4	52
8	5	52
8	6	52
9	0	52
9	1	53
9	2	52
9	3	52
9	4	52
9	5	52
9	6	52
10	0	52
10	1	53
10	2	52
10	3	52
10	4	52
10	5	52
10	6	52
11	0	52
11	1	53
11	2	52
11	3	52
11	4	52
11	5	52
11	6	52
12	0	52
12	1	53
12	2	52
12	3	52
12	4	52
12	5	52
12	6	52
13	0	52
13	1	53
13	2	52
13	3	52
13	4	52
13	5	52
13	6	52
14	0	52
14	1	53
14	2	52
14	3	52
14	4	52
14	5	52
14	6	52
15	0	52
15	1	53
15	2	52
15	3	52
15	4	52
15	5	52
15	6	52
16	0	52
16	1	53
16	2	52
16	3	52
16	4	52
16	5	52
16	6	52
17	0	52
17	1	53
17	2	52
17	3	52
17	4	52
17	5	52
17	6	52
18	0	52
18	1	53
18	2	52
18	3	52
18	4	52
18	5	52
18	6	52
19	0	52
19	1	53
19	2	52
19	3	52
19	4	52
19	5	52
19	6	52
20	0	52
20	1	53
20	2	52
20	3	52
20	4	52
20	5	52
20	6	52
21	0	52
21	1	53
21	2	52
21	3	52
21	4	52
21	5	52
21	6	52
22	0	52
22	1	53
22	2	52
22	3	52
22	4	52
22	5	52
22	6	52
23	0	52
23	1	53
23	2	52
23	3	52
23	4	52
23	5	52
23	6	52
